tag no: 106237700351 - already inserted!
tag no: 106237700340 - inserted successfully!
tag no: 106237700373 - inserted successfully!
tag no: 106237700338 - inserted successfully!
tag no: 106237700475 - inserted successfully!
tag no: 106237700464 - inserted successfully!
tag no: 106237700453 - inserted successfully!
tag no: 106237700442 - inserted successfully!
tag no: 106237700431 - inserted successfully!
tag no: 106237700500 - inserted successfully!
tag no: 106241314913 - inserted successfully!
tag no: 106237700613 - inserted successfully!
tag no: 106237700566 - inserted successfully!
tag no: 106237700830 - inserted successfully!
tag no: 106239493973 - inserted successfully!
tag no: 106237700327 - inserted successfully!
tag no: 106237700602 - inserted successfully!
tag no: 106237701013 - inserted successfully!
tag no: 106237700772 - inserted successfully!
tag no: 106237700761 - inserted successfully!
tag no: 106237700896 - inserted successfully!
tag no: 106237700750 - inserted successfully!
tag no: 106237700681 - inserted successfully!
tag no: 106237700670 - inserted successfully!
tag no: 106239494032 - inserted successfully!
